area,price
2231.88,558852.17
2524.92,632260.29
1527.65,382994.25
1986.09,497607.86
2920.16,730870.84
2821.46,706324.52
1617.55,405289.18
1660.93,416215.31
1960.97,491366.24
2836.94,710394.29
1705.05,427234.23
2043.63,512023.93
1670.71,418852.4
2617.25,655321.99
2887.84,723057.36
2306.34,577782.98
2823.63,707043.03
2566.89,642617.3
2802.87,701719.19
2175.01,544621.68
2446.49,612754.72
1728.91,433275.2
2780.6,696107.64
2340.5,586203.46
2619.16,655662.94
2593.21,649133.21
1990.05,498600.7
1793.01,449362.17
2574.26,644398.17
2479.35,620797.74
2804.18,702126.68
1785.38,447204.31
1570.37,393512.68
1750.58,438450.54
2931.6,733878.14
1601.51,401452.23
2676.79,670389.23
2051.5,513889.68
2470.42,618659.26
2830.04,708361.18
1581.99,396479.43
2612.27,654036.69
2873.79,719276.32
1814.85,454636.69
2294.7,574536.25
2822.2,706724.21
2649.11,663134.34
1947.02,487733.22
2418.39,605453.9
2214.04,554450.9
2949.39,738315.85
2585.33,647395.07
1546.52,387592.22
2821.07,706192.99
2941.01,736186.75
1522.16,381657.07
2306.25,577623.66
2047.23,512834.91
1895.44,474805.91
1925.99,482499.72
1693.2,424254.54
2225.26,557326.68
1828.2,458129.23
1762.2,441528.93
1995.65,499770.97
2462.76,616710.69
2677.54,670488.03
2995.4,749686.49
2343.55,587066.21
1898.42,475667.09
2349.59,588426.02
2437.16,610390.0
1645.76,412327.88
2568.05,642962.24
1654.49,414801.91
2158.54,540545.3
2727.36,682799.25
2839.38,710670.54
1524.86,382039.32
1858.84,465724.61
1626.72,407559.15
2189.35,548516.57
2253.37,564535.09
1698.64,425571.13
1935.77,484909.92
2557.51,640315.12
1526.64,382699.89
2785.27,697484.01
2260.8,566293.29
2367.9,593131.88
2195.95,550014.72
1806.84,452748.03
1669.9,418496.26
2359.56,590800.94
2517.89,630290.91
2345.42,587342.25
1701.95,426321.81
2880.39,721159.46
2273.6,569238.36
2923.85,732054.33
